make,model,highway08,city08,comb08,cylinders,drive,fule Type,year
Volkswagen,Tiguan 4motion,24,18,20,4,4-Wheel or All-Wheel Drive,Premium,2009
Volkswagen,Touareg,18,13,15,8,4-Wheel or All-Wheel Drive,Premium,2009
Nissan,Titan 2WD,18,13,14,8,Rear-Wheel Drive,Gasoline or E85,2009
Nissan,Titan 4WD,17,12,14,8,4-Wheel or All-Wheel Drive,Gasoline or E85,2009
Nissan,Armada 2WD,18,12,14,8,Rear-Wheel Drive,Gasoline or E85,2009
Nissan,Armada 4WD,18,12,14,8,4-Wheel or All-Wheel Drive,Gasoline or E85,2009
Dodge,Journey  2WD,25,19,21,4,Front-Wheel Drive,Regular,2009
Dodge,Journey  4WD,22,15,17,6,4-Wheel or All-Wheel Drive,Regular,2009
Dodge,Journey  2WD,23,16,18,6,Front-Wheel Drive,Regular,2009
Aston Martin,V8 Vantage,19,13,15,8,Rear-Wheel Drive,Premium,2009
Aston Martin,V8 Vantage,19,12,14,8,Rear-Wheel Drive,Premium,2009
Audi,R8,19,12,15,8,4-Wheel or All-Wheel Drive,Premium,2009
Audi,R8,18,13,15,8,4-Wheel or All-Wheel Drive,Premium,2009
Audi,TT Roadster,30,22,25,4,Front-Wheel Drive,Premium,2009
Cadillac,XLR-V,23,14,17,8,Rear-Wheel Drive,Premium,2009
Cadillac,XLR,24,15,18,8,Rear-Wheel Drive,Premium,2009
Chevrolet,Corvette,24,15,18,8,Rear-Wheel Drive,Premium,2009
Chevrolet,Corvette,20,14,16,8,Rear-Wheel Drive,Premium,2009
Lamborghini,Murcielago,13,8,10,12,4-Wheel or All-Wheel Drive,Premium,2009
Lamborghini,Murcielago,14,9,11,12,4-Wheel or All-Wheel Drive,Premium,2009
Lamborghini,Murcielago Roadster,13,8,10,12,4-Wheel or All-Wheel Drive,Premium,2009
Lamborghini,Murcielago Roadster,14,9,11,12,4-Wheel or All-Wheel Drive,Premium,2009
Pontiac,Solstice,27,19,21,4,Rear-Wheel Drive,Regular,2009
Pontiac,Solstice,24,19,21,4,Rear-Wheel Drive,Regular,2009
Pontiac,Solstice,25,19,21,4,Rear-Wheel Drive,Regular,2009
Pontiac,Solstice,28,19,22,4,Rear-Wheel Drive,Premium,2009
Saturn,SKY,27,19,21,4,Rear-Wheel Drive,Regular,2009
Saturn,SKY,24,19,21,4,Rear-Wheel Drive,Regular,2009
Saturn,SKY,25,19,21,4,Rear-Wheel Drive,Regular,2009
Saturn,SKY,28,19,22,4,Rear-Wheel Drive,Premium,2009
MINI,John Cooper Works,34,26,29,4,Front-Wheel Drive,Premium,2009
MINI,John Cooper Works Convertible,34,26,29,4,Front-Wheel Drive,Premium,2009
Audi,A5 quattro,27,16,20,6,4-Wheel or All-Wheel Drive,Premium,2009
Audi,A5 quattro,26,17,20,6,4-Wheel or All-Wheel Drive,Premium,2009
Audi,TT Coupe,31,23,26,4,Front-Wheel Drive,Premium,2009
Bentley,Continental GTC,17,10,12,12,4-Wheel or All-Wheel Drive,Premium,2009
Chevrolet,Aveo 5,34,27,30,4,Front-Wheel Drive,Regular,2009
Chevrolet,Cobalt,30,22,25,4,Front-Wheel Drive,Regular,2009
Chevrolet,Cobalt,33,24,27,4,Front-Wheel Drive,Regular,2009
Chevrolet,Cobalt XFE,37,25,30,4,Front-Wheel Drive,Regular,2009
Ford,Mustang,26,17,20,6,Rear-Wheel Drive,Regular,2009
Ford,Mustang,24,16,19,6,Rear-Wheel Drive,Regular,2009
Ford,Mustang,22,15,18,8,Rear-Wheel Drive,Regular,2009
Ford,Mustang,23,15,18,8,Rear-Wheel Drive,Regular,2009
Ford,Mustang,20,14,16,8,Rear-Wheel Drive,Premium,2009
Maserati,GranTurismo,19,12,15,8,Rear-Wheel Drive,Premium,2009
MINI,John Cooper Works Clubman,34,26,29,4,Front-Wheel Drive,Premium,2009
Nissan,GT-R,21,16,18,6,4-Wheel or All-Wheel Drive,Premium,2009
Pontiac,G3 Wave 5,34,27,30,4,Front-Wheel Drive,Regular,2009
Pontiac,G5,35,25,29,4,Front-Wheel Drive,Regular,2009
Pontiac,G5,33,24,27,4,Front-Wheel Drive,Regular,2009
Pontiac,G5 GT,35,25,29,4,Front-Wheel Drive,Regular,2009
Pontiac,G5 GT,32,23,26,4,Front-Wheel Drive,Regular,2009
Pontiac,G5 XFE,37,25,30,4,Front-Wheel Drive,Regular,2009
Roush Performance,Stage 3 Mustang,20,14,16,8,Rear-Wheel Drive,Premium,2009
Roush Performance,Stage 3 Mustang,20,15,17,8,Rear-Wheel Drive,Premium,2009
Volkswagen,Eos,31,21,25,4,Front-Wheel Drive,Premium,2009
Volkswagen,Eos,29,22,25,4,Front-Wheel Drive,Premium,2009
Volvo,C70 Convertible,27,18,21,5,Front-Wheel Drive,Regular,2009
Volvo,C70 Convertible,26,18,21,5,Front-Wheel Drive,Regular,2009
Audi,A4 quattro,26,17,20,6,4-Wheel or All-Wheel Drive,Premium,2009
Bentley,Continental GT,17,10,13,12,4-Wheel or All-Wheel Drive,Premium,2009
Chevrolet,Aveo,34,27,30,4,Front-Wheel Drive,Regular,2009
Hyundai,Accent,33,27,29,4,Front-Wheel Drive,Regular,2009
Hyundai,Accent,35,26,29,4,Front-Wheel Drive,Regular,2009
Mazda,3,29,22,25,4,Front-Wheel Drive,Regular,2009
Mazda,3,28,22,24,4,Front-Wheel Drive,Regular,2009
Mazda,3,32,24,27,4,Front-Wheel Drive,Regular,2009
Mazda,3,30,22,25,4,Front-Wheel Drive,Regular,2009
Mercedes-Benz,CLS63 AMG,18,12,14,8,Rear-Wheel Drive,Premium,2009
Mitsubishi,Lancer,25,17,20,4,4-Wheel or All-Wheel Drive,Premium,2009
Pontiac,G3 Wave,34,27,30,4,Front-Wheel Drive,Regular,2009
Pontiac,G6,33,22,26,4,Front-Wheel Drive,Regular,2009
Pontiac,G6,30,22,25,4,Front-Wheel Drive,Regular,2009
Pontiac,G6,26,17,20,6,Front-Wheel Drive,Regular,2009
Pontiac,G6,29,18,22,6,Front-Wheel Drive,Regular,2009
Pontiac,G6,26,17,20,6,Front-Wheel Drive,Regular,2009
Pontiac,G6,22,15,18,6,Front-Wheel Drive,Regular,2009
Rolls-Royce,Phantom Coupe,18,11,14,12,Rear-Wheel Drive,Premium,2009
Rolls-Royce,Phantom Drophead Coupe,18,11,14,12,Rear-Wheel Drive,Premium,2009
Saturn,Astra 2DR Hatchback,32,24,27,4,Front-Wheel Drive,Regular,2009
Saturn,Astra 2DR Hatchback,30,24,27,4,Front-Wheel Drive,Regular,2009
Volvo,C30 FWD,28,19,23,5,Front-Wheel Drive,Regular,2009
Volvo,C30 FWD,28,19,23,5,Front-Wheel Drive,Regular,2009
Volvo,C30 FWD,28,20,23,5,Front-Wheel Drive,Regular,2009
Volvo,C30 FWD,28,20,23,5,Front-Wheel Drive,Regular,2009
Volvo,S40 AWD,25,17,20,5,4-Wheel or All-Wheel Drive,Regular,2009
Volvo,S40 AWD,26,18,21,5,4-Wheel or All-Wheel Drive,Regular,2009
Volvo,S40 FWD,28,19,23,5,Front-Wheel Drive,Regular,2009
Volvo,S40 FWD,28,19,23,5,Front-Wheel Drive,Regular,2009
Volvo,S40 FWD,28,20,23,5,Front-Wheel Drive,Regular,2009
Volvo,S40 FWD,31,20,24,5,Front-Wheel Drive,Regular,2009
Volvo,S60 AWD,26,17,21,5,4-Wheel or All-Wheel Drive,Regular,2009
Volvo,S60 AWD,26,18,21,5,4-Wheel or All-Wheel Drive,Regular,2009
Volvo,S60 FWD,26,18,21,5,Front-Wheel Drive,Regular,2009
Volvo,S60 FWD,27,19,22,5,Front-Wheel Drive,Regular,2009
Volvo,S60 FWD,28,19,23,5,Front-Wheel Drive,Regular,2009
Bentley,Continental Flying Spur,17,10,12,12,4-Wheel or All-Wheel Drive,Premium,2009
Buick,Lacrosse/Allure,28,17,21,6,Front-Wheel Drive,Regular,2009
Buick,Lacrosse/Allure,24,16,19,8,Front-Wheel Drive,Regular,2009
Cadillac,CTS,26,17,20,6,Rear-Wheel Drive,Regular,2009
Cadillac,CTS,26,18,21,6,Rear-Wheel Drive,Regular,2009
Cadillac,CTS,25,16,19,6,Rear-Wheel Drive,Regular,2009
Cadillac,CTS,25,16,19,6,Rear-Wheel Drive,Regular,2009
Cadillac,CTS AWD,26,17,20,6,4-Wheel or All-Wheel Drive,Regular,2009
Cadillac,CTS AWD,25,17,20,6,4-Wheel or All-Wheel Drive,Regular,2009
Cadillac,STS,24,15,18,8,Rear-Wheel Drive,Premium,2009
Cadillac,STS,26,17,20,6,Rear-Wheel Drive,Regular,2009
Cadillac,STS-V,19,13,15,8,Rear-Wheel Drive,Premium,2009
Cadillac,STS AWD,26,17,20,6,4-Wheel or All-Wheel Drive,Regular,2009
Cadillac,STS AWD,22,15,17,8,4-Wheel or All-Wheel Drive,Premium,2009
Chevrolet,Malibu,33,22,26,4,Front-Wheel Drive,Regular,2009
Chevrolet,Malibu,30,22,25,4,Front-Wheel Drive,Regular,2009
Chevrolet,Malibu,29,18,22,6,Front-Wheel Drive,Regular,2009
Chevrolet,Malibu,26,17,20,6,Front-Wheel Drive,Regular,2009
Chevrolet,Malibu Hybrid,34,26,29,4,Front-Wheel Drive,Regular,2009
Ford,Fusion AWD,25,17,20,6,4-Wheel or All-Wheel Drive,Regular,2009
Ford,Fusion FWD,29,20,23,4,Front-Wheel Drive,Regular,2009
Ford,Fusion FWD,28,20,23,4,Front-Wheel Drive,Regular,2009
Ford,Fusion FWD,26,18,21,6,Front-Wheel Drive,Regular,2009
Hyundai,Elantra,33,24,27,4,Front-Wheel Drive,Regular,2009
Hyundai,Elantra,33,25,28,4,Front-Wheel Drive,Regular,2009
Jaguar,XF Supercharged,23,15,17,8,Rear-Wheel Drive,Premium,2009
Mercury,Milan AWD,25,17,20,6,4-Wheel or All-Wheel Drive,Regular,2009
Mercury,Milan,29,20,23,4,Front-Wheel Drive,Regular,2009
Mercury,Milan,28,20,23,4,Front-Wheel Drive,Regular,2009
Mercury,Milan,26,18,21,6,Front-Wheel Drive,Regular,2009
Lincoln,MKZ AWD,24,17,19,6,4-Wheel or All-Wheel Drive,Regular,2009
Lincoln,MKZ FWD,28,18,21,6,Front-Wheel Drive,Regular,2009
Mazda,6,29,20,23,4,Front-Wheel Drive,Regular,2009
Mazda,6,30,21,24,4,Front-Wheel Drive,Regular,2009
Mazda,6,25,17,20,6,Front-Wheel Drive,Regular,2009
Mazda,Speed 3,25,18,20,4,Front-Wheel Drive,Premium,2009
Mercedes-Benz,E320 Bluetec,32,23,26,6,Rear-Wheel Drive,Diesel,2009
Nissan,Maxima,26,19,22,6,Front-Wheel Drive,Premium,2009
Nissan,Versa,31,26,28,4,Front-Wheel Drive,Regular,2009
Nissan,Versa,33,27,29,4,Front-Wheel Drive,Regular,2009
Nissan,Versa,32,24,27,4,Front-Wheel Drive,Regular,2009
Rolls-Royce,Phantom,18,11,14,12,Rear-Wheel Drive,Premium,2009
Saturn,Astra 4DR Hatchback,30,24,27,4,Front-Wheel Drive,Regular,2009
Saturn,Astra 4DR Hatchback,32,24,27,4,Front-Wheel Drive,Regular,2009
Saturn,Aura,33,22,26,4,Front-Wheel Drive,Regular,2009
Saturn,Aura,26,17,20,6,Front-Wheel Drive,Regular,2009
Saturn,Aura Hybrid,34,26,29,4,Front-Wheel Drive,Regular,2009
Volvo,S80 AWD,23,15,18,6,4-Wheel or All-Wheel Drive,Regular,2009
Volvo,S80 AWD,22,15,18,8,4-Wheel or All-Wheel Drive,Regular,2009
Volvo,S80 FWD,25,16,20,6,Front-Wheel Drive,Regular,2009
Buick,Lucerne,26,17,20,6,Front-Wheel Drive,Regular,2009
Buick,Lucerne,22,15,18,8,Front-Wheel Drive,Regular,2009
Cadillac,DTS,23,15,18,8,Front-Wheel Drive,Regular,2009
Cadillac,DTS,22,15,18,8,Front-Wheel Drive,Regular,2009
Cadillac,Funeral Coach / Hearse,16,12,14,8,Front-Wheel Drive,Regular,2009
Cadillac,Limousine,18,12,14,8,Front-Wheel Drive,Regular,2009
Chevrolet,Impala,29,18,22,6,Front-Wheel Drive,Regular,2009
Chevrolet,Impala,24,16,19,8,Front-Wheel Drive,Regular,2009
Maserati,Quattroporte,18,12,14,8,Rear-Wheel Drive,Premium,2009
Mercedes-Benz,S600,17,11,13,12,Rear-Wheel Drive,Premium,2009
Mercedes-Benz,S63 AMG,17,11,13,8,Rear-Wheel Drive,Premium,2009
Mercedes-Benz,S65 AMG,17,11,13,12,Rear-Wheel Drive,Premium,2009
Pontiac,G8,25,17,20,6,Rear-Wheel Drive,Regular,2009
Pontiac,G8,24,15,18,8,Rear-Wheel Drive,Regular,2009
Rolls-Royce,Phantom EWB,18,11,14,12,Rear-Wheel Drive,Premium,2009
Hyundai,Elantra Touring,31,23,26,4,Front-Wheel Drive,Regular,2009
Hyundai,Elantra Touring,30,23,26,4,Front-Wheel Drive,Regular,2009
Volvo,V50 AWD,25,17,20,5,4-Wheel or All-Wheel Drive,Regular,2009
Volvo,V50 AWD,26,18,21,5,4-Wheel or All-Wheel Drive,Regular,2009
Volvo,V50 FWD,28,19,23,5,Front-Wheel Drive,Regular,2009
Volvo,V50 FWD,28,19,23,5,Front-Wheel Drive,Regular,2009
Volvo,V50 FWD,28,20,23,5,Front-Wheel Drive,Regular,2009
Volvo,V50 FWD,31,20,24,5,Front-Wheel Drive,Regular,2009
Kia,Rondo,27,20,22,4,Front-Wheel Drive,Regular,2009
Kia,Rondo,26,18,21,6,Front-Wheel Drive,Regular,2009
Volvo,V70 FWD,25,16,20,6,Front-Wheel Drive,Regular,2009
Chevrolet,Colorado 2WD,24,18,20,4,Rear-Wheel Drive,Regular,2009
Chevrolet,Colorado 2WD,23,17,19,5,Rear-Wheel Drive,Regular,2009
Chevrolet,Colorado 2WD,24,18,20,4,Rear-Wheel Drive,Regular,2009
Chevrolet,Colorado Crew Cab 2WD,24,18,20,4,Rear-Wheel Drive,Regular,2009
Chevrolet,Colorado Crew Cab 2WD,23,17,19,5,Rear-Wheel Drive,Regular,2009
Chevrolet,Colorado Crew Cab 2WD,24,18,20,4,Rear-Wheel Drive,Regular,2009
GMC,Canyon 2WD,24,18,20,4,Rear-Wheel Drive,Regular,2009
GMC,Canyon 2WD,23,17,19,5,Rear-Wheel Drive,Regular,2009
GMC,Canyon 2WD,24,18,20,4,Rear-Wheel Drive,Regular,2009
GMC,Canyon Cab Chassis Inc 2WD,20,15,17,5,Rear-Wheel Drive,Regular,2009
GMC,Canyon Crew Cab 2WD,24,18,20,4,Rear-Wheel Drive,Regular,2009
GMC,Canyon Crew Cab 2WD,23,17,19,5,Rear-Wheel Drive,Regular,2009
GMC,Canyon Crew Cab 2WD,24,18,20,4,Rear-Wheel Drive,Regular,2009
Toyota,Tacoma 2WD,26,20,22,4,Rear-Wheel Drive,Regular,2009
Toyota,Tacoma 2WD,25,19,21,4,Rear-Wheel Drive,Regular,2009
Toyota,Tacoma 2WD,19,15,17,6,Rear-Wheel Drive,Regular,2009
Toyota,Tacoma 2WD,21,17,18,6,Rear-Wheel Drive,Regular,2009
Chevrolet,Colorado 4WD,23,17,20,4,4-Wheel or All-Wheel Drive,Regular,2009
Chevrolet,Colorado 4WD,22,16,19,5,4-Wheel or All-Wheel Drive,Regular,2009
Chevrolet,Colorado 4WD,23,17,20,4,4-Wheel or All-Wheel Drive,Regular,2009
Chevrolet,Colorado Cab Chassis inc 2WD,20,15,17,5,Rear-Wheel Drive,Regular,2009
Chevrolet,Colorado Cab Chassis inc 4WD,21,16,18,5,4-Wheel or All-Wheel Drive,Regular,2009
Chevrolet,Colorado Crew Cab 4WD,21,16,18,5,4-Wheel or All-Wheel Drive,Regular,2009
GMC,Canyon 4WD,23,17,20,4,4-Wheel or All-Wheel Drive,Regular,2009
GMC,Canyon 4WD,22,16,18,5,4-Wheel or All-Wheel Drive,Regular,2009
GMC,Canyon 4WD,23,17,20,4,4-Wheel or All-Wheel Drive,Regular,2009
GMC,Canyon Cab Chassis Inc 4WD,21,16,18,5,4-Wheel or All-Wheel Drive,Regular,2009
GMC,Canyon Crew Cab 4WD,21,16,18,5,4-Wheel or All-Wheel Drive,Regular,2009
Toyota,Tacoma 4WD,22,17,19,4,4-Wheel or All-Wheel Drive,Regular,2009
Toyota,Tacoma 4WD,19,14,16,6,4-Wheel or All-Wheel Drive,Regular,2009
Toyota,Tacoma 4WD,20,16,18,6,4-Wheel or All-Wheel Drive,Regular,2009
Chevrolet,Silverado C15 2WD,20,14,16,8,Rear-Wheel Drive,Regular,2009
Chevrolet,Silverado C15 2WD,20,14,16,8,Rear-Wheel Drive,Regular,2009
Chevrolet,Silverado C15 2WD,19,14,16,8,Rear-Wheel Drive,Regular,2009
Chevrolet,Silverado 15 Hybrid 2WD,22,21,21,8,Rear-Wheel Drive,Regular,2009
GMC,Sierra C15 2WD,20,14,16,8,Rear-Wheel Drive,Regular,2009
GMC,Sierra C15 2WD,20,14,16,8,Rear-Wheel Drive,Regular,2009
GMC,Sierra C15 2WD,19,14,16,8,Rear-Wheel Drive,Regular,2009
GMC,Sierra 15 Hybrid 2WD,22,21,21,8,Rear-Wheel Drive,Regular,2009
Chevrolet,Silverado K15 4WD,19,14,16,8,4-Wheel or All-Wheel Drive,Regular,2009
Chevrolet,Silverado K15 4WD,20,14,16,8,4-Wheel or All-Wheel Drive,Regular,2009
Chevrolet,Silverado K15 4WD,18,13,15,8,4-Wheel or All-Wheel Drive,Regular,2009
Chevrolet,Silverado 15 Hybrid 4WD,20,20,20,8,4-Wheel or All-Wheel Drive,Regular,2009
GMC,Sierra K15 4WD,19,14,16,8,4-Wheel or All-Wheel Drive,Regular,2009
GMC,Sierra K15 4WD,20,14,16,8,4-Wheel or All-Wheel Drive,Regular,2009
GMC,Sierra K15 4WD,18,13,15,8,4-Wheel or All-Wheel Drive,Regular,2009
GMC,Sierra 15 Hybrid 4WD,20,20,20,8,4-Wheel or All-Wheel Drive,Regular,2009
Hummer,H3T 4WD,18,14,16,5,4-Wheel or All-Wheel Drive,Regular,2009
Hummer,H3T 4WD,18,14,16,5,4-Wheel or All-Wheel Drive,Regular,2009
Hummer,H3T 4WD,16,13,14,8,4-Wheel or All-Wheel Drive,Regular,2009
Mazda,5,28,22,24,4,Front-Wheel Drive,Regular,2009
Mazda,5,27,21,23,4,Front-Wheel Drive,Regular,2009
Toyota,Sienna 2WD,23,17,19,6,Front-Wheel Drive,Regular,2009
Toyota,Sienna 4WD,21,16,18,6,4-Wheel or All-Wheel Drive,Regular,2009
Buick,Enclave FWD,24,17,19,6,Front-Wheel Drive,Regular,2009
Cadillac,Escalade Hybrid 2WD,21,20,20,8,Rear-Wheel Drive,Regular,2009
Cadillac,SRX 2WD,20,13,16,8,Rear-Wheel Drive,Premium,2009
Cadillac,SRX 2WD,23,15,18,6,Rear-Wheel Drive,Regular,2009
Chevrolet,Avalanche 1500 2WD,20,14,16,8,Rear-Wheel Drive,Regular,2009
Chevrolet,Avalanche 1500 2WD,19,14,16,8,Rear-Wheel Drive,Regular,2009
Chevrolet,Suburban 1500 2WD,20,14,16,8,Rear-Wheel Drive,Regular,2009
Chevrolet,Suburban 1500 2WD,19,14,16,8,Rear-Wheel Drive,Regular,2009
Chevrolet,Tahoe 1500 2WD,20,14,16,8,Rear-Wheel Drive,Regular,2009
Chevrolet,Tahoe Hybrid 2WD,22,21,21,8,Rear-Wheel Drive,Regular,2009
Chevrolet,Equinox FWD,24,17,19,6,Front-Wheel Drive,Regular,2009
Chevrolet,HHR FWD,29,21,24,4,Front-Wheel Drive,Regular,2009
Chevrolet,HHR FWD,29,19,23,4,Front-Wheel Drive,Regular,2009
Chevrolet,HHR FWD,30,22,25,4,Front-Wheel Drive,Gasoline or E85,2009
Chevrolet,HHR Panel FWD,29,21,24,4,Front-Wheel Drive,Regular,2009
Chevrolet,HHR Panel FWD,29,19,23,4,Front-Wheel Drive,Regular,2009
Chevrolet,HHR Panel FWD,30,22,25,4,Front-Wheel Drive,Gasoline or E85,2009
Chevrolet,TrailBlazer 2WD,20,14,16,6,Rear-Wheel Drive,Regular,2009
Chevrolet,TrailBlazer 2WD,16,12,14,8,Rear-Wheel Drive,Regular,2009
Chevrolet,TrailBlazer 2WD,21,15,17,8,Rear-Wheel Drive,Regular,2009
Chevrolet,Traverse FWD,24,17,19,6,Front-Wheel Drive,Regular,2009
Ford,Escape FWD,28,22,24,4,Front-Wheel Drive,Regular,2009
Ford,Escape FWD,28,20,23,4,Front-Wheel Drive,Regular,2009
Ford,Escape FWD,26,18,21,6,Front-Wheel Drive,Regular,2009
Ford,Escape Hybrid FWD,31,34,32,4,Front-Wheel Drive,Regular,2009
GMC,Acadia FWD,24,17,19,6,Front-Wheel Drive,Regular,2009
GMC,Yukon 1500 2WD,20,14,16,8,Rear-Wheel Drive,Regular,2009
GMC,Yukon 1500 Hybrid 2WD,22,21,21,8,Rear-Wheel Drive,Regular,2009
GMC,Yukon XL 1500 2WD,20,14,16,8,Rear-Wheel Drive,Regular,2009
GMC,Yukon XL 1500 2WD,19,14,16,8,Rear-Wheel Drive,Regular,2009
GMC,Envoy 2WD,20,14,16,6,Rear-Wheel Drive,Regular,2009
GMC,Envoy 2WD,21,15,17,8,Rear-Wheel Drive,Regular,2009
Honda,Pilot 2WD,23,17,19,6,Front-Wheel Drive,Regular,2009
Hyundai,Santa Fe 2WD,24,17,20,6,Front-Wheel Drive,Regular,2009
Hyundai,Santa Fe 2WD,24,18,20,6,Front-Wheel Drive,Regular,2009
Hyundai,Santa Fe 2WD,24,17,20,6,Front-Wheel Drive,Regular,2009
Hyundai,Veracruz 2WD,23,16,18,6,Front-Wheel Drive,Regular,2009
Infiniti,FX35 RWD,23,16,19,6,Rear-Wheel Drive,Premium,2009
Jeep,Commander 2WD,20,15,16,6,Rear-Wheel Drive,Regular,2009
Jeep,Grand Cherokee 2WD,21,16,18,6,Rear-Wheel Drive,Regular,2009
Kia,Borrego 2WD,22,15,18,8,Rear-Wheel Drive,Regular,2009
Mazda,CX-9 2WD,22,16,18,6,Front-Wheel Drive,Regular,2009
Mazda,Tribute FWD,28,22,24,4,Front-Wheel Drive,Regular,2009
Mazda,Tribute FWD,28,20,23,4,Front-Wheel Drive,Regular,2009
Mazda,Tribute FWD,26,18,21,6,Front-Wheel Drive,Regular,2009
Mazda,Tribute Hybrid 2WD,31,34,32,4,Front-Wheel Drive,Regular,2009
Mercury,Mariner FWD,28,20,23,4,Front-Wheel Drive,Regular,2009
Mercury,Mariner FWD,26,18,21,6,Front-Wheel Drive,Regular,2009
Mercury,Mariner Hybrid FWD,31,34,32,4,Front-Wheel Drive,Regular,2009
Mitsubishi,Outlander 2WD,25,20,22,4,Front-Wheel Drive,Regular,2009
Mitsubishi,Outlander 2WD,24,17,20,6,Front-Wheel Drive,Regular,2009
Pontiac,Torrent FWD,24,17,19,6,Front-Wheel Drive,Regular,2009
Saturn,Outlook FWD,24,17,19,6,Front-Wheel Drive,Regular,2009
Saturn,Vue FWD,26,19,22,4,Front-Wheel Drive,Regular,2009
Saturn,Vue FWD,24,17,19,6,Front-Wheel Drive,Regular,2009
Saturn,Vue FWD,24,17,19,6,Front-Wheel Drive,Regular,2009
Saturn,Vue Hybrid,32,25,28,4,Front-Wheel Drive,Regular,2009
Suzuki,XL7 FWD,24,17,19,6,Front-Wheel Drive,Regular,2009
Toyota,Highlander 2WD,24,18,20,6,Front-Wheel Drive,Regular,2009
Toyota,RAV4 2WD,27,19,22,6,Front-Wheel Drive,Regular,2009
Volvo,XC 90 FWD,20,14,17,6,Front-Wheel Drive,Regular,2009
Acura,RDX 4WD,22,17,19,4,4-Wheel or All-Wheel Drive,Premium,2009
Buick,Enclave AWD,22,16,18,6,4-Wheel or All-Wheel Drive,Regular,2009
Cadillac,SRX AWD,20,13,15,8,4-Wheel or All-Wheel Drive,Premium,2009
Cadillac,SRX AWD,22,14,17,6,4-Wheel or All-Wheel Drive,Regular,2009
Chevrolet,Equinox AWD,24,16,19,6,4-Wheel or All-Wheel Drive,Regular,2009
Chevrolet,Tahoe Hybrid 4WD,20,20,20,8,4-Wheel or All-Wheel Drive,Regular,2009
Chevrolet,TrailBlazer 4WD,20,14,16,6,4-Wheel or All-Wheel Drive,Regular,2009
Chevrolet,TrailBlazer 4WD,20,14,16,8,4-Wheel or All-Wheel Drive,Regular,2009
Chevrolet,TrailBlazer AWD,16,12,13,8,4-Wheel or All-Wheel Drive,Regular,2009
Chevrolet,Traverse AWD,23,16,19,6,4-Wheel or All-Wheel Drive,Regular,2009
Ford,Escape 4WD,25,19,21,4,4-Wheel or All-Wheel Drive,Regular,2009
Ford,Escape 4WD,24,17,20,6,4-Wheel or All-Wheel Drive,Regular,2009
Ford,Escape Hybrid 4WD,27,29,28,4,4-Wheel or All-Wheel Drive,Regular,2009
GMC,Acadia AWD,23,16,19,6,4-Wheel or All-Wheel Drive,Regular,2009
GMC,Envoy 4WD,20,14,16,6,4-Wheel or All-Wheel Drive,Regular,2009
GMC,Envoy 4WD,20,14,16,8,4-Wheel or All-Wheel Drive,Regular,2009
GMC,Yukon 1500 Hybrid 4WD,20,20,20,8,4-Wheel or All-Wheel Drive,Regular,2009
Honda,Pilot 4WD,22,16,18,6,4-Wheel or All-Wheel Drive,Regular,2009
Hummer,H3 4WD,18,14,16,5,4-Wheel or All-Wheel Drive,Regular,2009
Hummer,H3 4WD,18,14,16,5,4-Wheel or All-Wheel Drive,Regular,2009
Hummer,H3 4WD,16,13,14,8,4-Wheel or All-Wheel Drive,Regular,2009
Hyundai,Santa Fe 4WD,23,17,19,6,4-Wheel or All-Wheel Drive,Regular,2009
Hyundai,Santa Fe 4WD,23,17,19,6,4-Wheel or All-Wheel Drive,Regular,2009
Hyundai,Santa Fe 4WD,24,17,19,6,4-Wheel or All-Wheel Drive,Regular,2009
Hyundai,Veracruz 4WD,22,15,18,6,4-Wheel or All-Wheel Drive,Regular,2009
Infiniti,FX35 AWD,21,16,18,6,4-Wheel or All-Wheel Drive,Premium,2009
Infiniti,FX50 AWD,20,14,16,8,4-Wheel or All-Wheel Drive,Premium,2009
Isuzu,Ascender 5-passenger 4WD,20,14,16,6,4-Wheel or All-Wheel Drive,Regular,2009
Jeep,Commander 4WD,19,14,16,6,4-Wheel or All-Wheel Drive,Regular,2009
Jeep,Grand Cherokee 4WD,20,15,17,6,4-Wheel or All-Wheel Drive,Regular,2009
Kia,Borrego 4WD,20,15,17,8,4-Wheel or All-Wheel Drive,Regular,2009
Land Rover,LR3,17,12,14,8,4-Wheel or All-Wheel Drive,Premium,2009
Land Rover,Range Rover,18,12,14,8,4-Wheel or All-Wheel Drive,Premium,2009
Land Rover,Range Rover,18,12,14,8,4-Wheel or All-Wheel Drive,Premium,2009
Land Rover,Range Rover Sport,18,12,14,8,4-Wheel or All-Wheel Drive,Premium,2009
Land Rover,Range Rover Sport,18,12,15,8,4-Wheel or All-Wheel Drive,Premium,2009
Mazda,CX-9 4WD,21,15,17,6,4-Wheel or All-Wheel Drive,Regular,2009
Mazda,Tribute 4WD,25,19,21,4,4-Wheel or All-Wheel Drive,Regular,2009
Mazda,Tribute 4WD,24,17,20,6,4-Wheel or All-Wheel Drive,Regular,2009
Mazda,Tribute Hybrid 4WD,27,29,28,4,4-Wheel or All-Wheel Drive,Regular,2009
Mercedes-Benz,GL450 4matic,18,13,15,8,4-Wheel or All-Wheel Drive,Premium,2009
Mercedes-Benz,GL550 4matic,17,13,14,8,4-Wheel or All-Wheel Drive,Premium,2009
Mercedes-Benz,ML550 4matic,18,13,15,8,4-Wheel or All-Wheel Drive,Premium,2009
Mercury,Mariner 4WD,25,19,21,4,4-Wheel or All-Wheel Drive,Regular,2009
